id	id	requirement number	description	answer type	answer text	has image	url (link)	has video?	video link	image files
4-6-2	F	6b	Tell what precautions must be taken for a safe trip afloat.	text	1. Qualified Supervision. You need someone age 21 or older to watch over you. // 2. Personal Health Review. You need to provide a complete health history, which helps your leader/supervisor be aware of any illness/conditions you might have. // 3. Swimming Ability. You gotta know how to swim. // 4. Life Jackets. Doesn't matter if you're an olympic swimmer. You can still drown in the sea. // 5. Buddy System. Have someone with you at all costs. It might save your life. // 6. Skill Proficiency. You need to know what to do in an emergency. // 7. Planning. You need to plan your route, schedule, and any backup plans if something fails. // 8. Proper Equipment. This is a no-brainer. You need everything in good quality. // 9. Dicipline. You and everyone else needs to respect the rules.					
4-6-3	F	6c	Identify the basic parts of a canoe, kayak, or other boat. Identify the parts of a paddle or an oar.	image	none	yes	https://drive.google.com/uc?export=download&id=1c6BQFVW3VxSSGCBU5FsL8nSVmxUgWijh			test7
4-6-4	F	6d	Describe proper body positioning in a watercraft, depending on the type and size of the vessel. Explain the importance of proper body position in the boat.	text	-					
4-6-5	F	6e	With a helper and a practice victim, show a line rescue both as tender and as rescuer. (The practice victim should be approximately 30 feet from shore in deep water.)	text	-					
4-7-1	F	7a	Demonstrate bandages for a sprained ankle and for injuries on the head, the upper arm, and the collarbone.	text	-					
4-7-2	F	7b	By yourself and with a partner, show how to: Transport a person from a smoke-filled room, and transport for at least 25 yards a person with a sprained ankle	text	-					
4-7-3	F	7c	Tell the five most common signals of a heart attack. Explain the steps (procedures) in cardiopulmonary resuscitation (CPR).	text	-					
4-7-4	F	7d	Tell what utility services exist in your home or meeting place. Describe potential hazards associated with these utilities and tell how to respond in emergency situations.	text	-					
4-7-5	F	7e	Develop an emergency action plan for your home that includes what to do in case of fire, storm, power outage, and water outage.	text	Draw a simple map of your house for every floor. Be sure to label things such as doors and stairs. Make arrows indicating the direction people should head to in case of an emergency. Perhaps, a place to meet? That aside, make sure to have an "emergency bag" (also mark that on the map) in an easily accessible place when in an emergency. That bag should include water, food, and first aid supplies that should last for a good few days to get things sorted.					
4-7-6	F	7f	Explain how to obtain potable water in an emergency.	text	-					
4-8-1	F	8a	After completing Second Class requirement 7a, be physically active at least 30 minutes each day for five days a week for four weeks. Keep track of your activities.	text	Should be self-explanatory. Exercise a bit, and record it down.					
4-8-2	F	8b	Share your challenges and successes in completing First Class requirement 8a. Set a goal for continuing to include physical activity as part of your daily life.	text	Also should be self-explanatory. Make a plan on how to improve. If you are already there (in a sense that you have already been healthy and active), tell or make a plan on how you would keep on doing your activities.					
4-9-1	F	9a	Visit and discuss with a selected individual approved by your leader (for example, an elected official, judge, attorney, civil servant, principal, or teacher) the constitutional rights and obligations of a U.S. citizen.	text	As the requirement states, you should ask your leader about this!					
4-9-2	F	9b	Investigate an environmental issue affecting your community. Share what you learned about that issue with your patrol or troop. Tell what, if anything, could be done by you or your community to address the concern.	text	This varies for every city, community, etc. Is the water polluted? Is there too much air pollution? Are there trash everywhere? These are some common possibilites you can look for.					
4-9-3	F	9c	On a Scouting or family outing, take note of the trash and garbage you produce. Before your next similar outing, decide how you can reduce, recycle, or repurpose what you take on that outing, and then put those plans into action. Compare your results.	text	Should be self-explanatory. Have some awareness when throwing out your trash. Count how much trash you threw out. On the next campout, try to produce less of that, if possible, or recycle/reuse said trash.					
4-9-4	F	9d	Participate in three hours of service through one or more service projects approved by your Scoutmaster. The project(s) must not be the same service project(s) used for Tenderfoot requirement 7b and Second Class requirement 8e. Explain how your service to others relates to the Scout Law.	text	-					
4-10-0	F	10	Tell someone who is eligible to join Scouts BSA, or an inactive Scout, about your Scouting activities. Invite this person to an outing, activity, service project, or meeting. Provide information on how to join, or encourage the inactive Scout to become active. Share your efforts with your Scoutmaster or other adult leader.	text	-					
4-11-0	F	11	Demonstrate Scout spirit by living the Scout Oath and Scout Law. Tell how you have done your duty to God and how you have lived four different points of the Scout Law (different from those points used for previous ranks) in your everyday life.	text	-					
4-12-0	F	12	While working toward the First Class rank, and after completing Second Class requirement 11, participate in a Scoutmaster conference.	text	You did this before, and you can do it again. It's the same thing :)					
4-13-0	F	13	Successfully complete your board of review for the First Class rank.	text	You did this before, and you can do it again. It's the same thing :)					
										
5-1-0	ST	1	Be active in your troop for at least four months as a First Class Scout.	text	Nothing to say about this, really! Just participate actively in your troop for 4 months, and you're good to go!					
5-2-0	ST	2	As a First Class Scout, demonstrate Scout spirit by living the Scout Oath and Scout Law. Tell how you have done your duty to God and how you have lived the Scout Oath and Scout Law in your everyday life.	text	-					
5-3-0	ST	3	Earn six merit badges, including any four from the required list for Eagle. You may choose any of the merit badges on the required list for Eagle to fulfill this requirement. See Eagle rank requirement 3 for this list.	text	-					
5-4-0	ST	4	While a First Class Scout, participate in six hours of service through one or more service projects approved by your Scoutmaster.	text	We can't offer much help with this! But usually, service hours aren't hard to find. You can try asking your scoutmaster or your SPL about places where you can volunteer.					
5-5-0	ST	5	While a First Class Scout, serve actively in your troop for four months in one or more of the following positions of responsibility (or carry out a Scoutmaster-approved leadership project to help the troop: Scout troop. Patrol leader, assistant senior patrol leader, senior patrol leader, troop guide, Order of the Arrow troop representative, den chief, scribe, librarian, historian, quartermaster, bugler, junior assistant Scoutmaster, chaplain aide, instructor, webmaster, or outdoor ethics guide. || Venturing crew. President, vice president, secretary, treasurer, den chief, historian, guide, quartermaster, chaplain aide, or outdoor ethics guide. || Sea Scout ship. Boatswain, boatswain's mate, purser, yeoman, storekeeper, crew leader, media specialist, specialist, den chief, or chaplain aide. || Lone Scout. Leadership responsibility in your school, religious organization, club, or elsewhere in your community.	text	This isn't something we can help you with as much. It's mostly up to you! Try to aim for patrol leader, as leadership is an important skill in life generally! And usually, your troop should have meetings that teaches you what you need to do for your position.					
5-6-0	ST	6	With your parent or guardian, earn the Cyber Chip Award for your grade or view the Personal Safety Awareness videos (with your parent or guardian's permission).	text	-					
5-7-0	ST	7	While a First Class Scout, participate in a Scoutmaster conference.	text	You did this before, and you can do it again. It's the same thing :)					
5-8-0	ST	8	Successfully complete your board of review for the Star rank.	text	You did this before, and you can do it again. It's the same thing :)					
										
6-1-0	L	1	Be active in your troop for at least six months as a Star Scout.	text	Once again, nothing to say about this!					
6-2-0	L	2	As a Star Scout, demonstrate Scout spirit by living the Scout Oath and Scout Law. Tell how you have done your duty to God and how you have lived the Scout Oath and Scout Law in your everyday life.	text	-					
6-3-0	L	3	Earn five more merit badges (so that you have 11 in all) including any number more from the list for Eagle so that you have a total of seven from the required list of Eagle in that total number of 11 merit badges. You may choose any of the 17 merit badges on the required list for Eagle to fulfill this requirement. See Eagle rank requirement 3 for this list.	text	-					
6-4-0	L	4	While a Star Scout, participate in six hours of service through one or more service projects approved by your Scoutmaster. At least three hours of this service must be conservation-related.	text	We can't offer much help with this! But usually, service hours aren't hard to find. You can try asking your scoutmaster or your SPL about places where you can volunteer.					
6-5-0	L	5	While a Star Scout, serve actively in your troop for six months in one or more of the following positions of responsibility (or carry out a Scoutmaster-approved leadership project to help the troop: Scout troop. Patrol leader, assistant senior patrol leader, senior patrol leader, troop guide, Order of the Arrow troop representative, den chief, scribe, librarian, historian, quartermaster, bugler, junior assistant Scoutmaster, chaplain aide, instructor, webmaster, or outdoor ethics guide. || Venturing crew. President, vice president, secretary, treasurer, den chief, historian, guide, quartermaster, chaplain aide, or outdoor ethics guide. || Sea Scout ship. Boatswain, boatswain's mate, purser, yeoman, storekeeper, crew leader, media specialist, specialist, den chief, or chaplain aide. || Lone Scout. Leadership responsibility in your school, religious organization, club, or elsewhere in your community.	text	This isn't something we can help you with as much. It's mostly up to you! Try to aim for assistant senior patrol leader this time! It might be a bit difficult, but it will prepare you for the real thing - senior patrol leader!					
6-6-0	L	6	While a Star Scout, use the Teaching EDGE method to teach another Scout (preferably younger than you) the skills from ONE of the following choices, so that the Scout is prepared to pass those requirements to their Scoutmaster's satisfaction. Tenderfoot 4a and 4b (first aid) || Second Class 2b, 2c, and 2d (cooking/tools) || Second Class 3a and 3d (navigation) || First Class 3a, 3b, 3c, and 3d (tools) || First Class 4a and 4b (navigation) || Second Class 6a and 6b (first aid) || First Class - 7a and 7b (first aid) || Three requirements from one of the required for Eagle merit badges, as approved by your Scoutmaster	text	-					
6-7-0	L	7	While a Star Scout, participate in a Scoutmaster conference.	text	You did this before, and you can do it again. It's the same thing :)					
6-8-0	L	8	Successfully complete your board of review for the Life rank.	text	You did this before, and you can do it again. It's the same thing :)					
										
7-1-0	E	1	Be active in your troop for at least six months as a Life Scout.	text	You know the drill!					
7-2-0	E	2	As a Life Scout, demonstrate Scout Spirit by living the Scout Oath and Scout Law. Tell how you have done your duty to God, how you have lived the Scout Oath and Scout Law in your everyday life, and how your understanding of the Scout Oath and Scout Law will guide your life in the future. List on your Eagle Scout Rank Application the names of individuals who know you personally and would be willing to provide a recommendation on your behalf, including parents/guardians, religious (if not affiliated with an organized religion, then the parent or guardian provides this reference), educational, employer (if employed), and two other references.	text	-					
7-3-0	E	3	Earn a total of 21 merit badges (10 more than required for the Life rank), including these 14 merit badges: (a) First Aid, (b) Citizenship in the Community, (c) Citizenship in the Nation, (d) Citizenship in Society, (e) Citizenship in the World, (f) Communication, (g) Cooking, (h) Personal Fitness, (i) Emergency Preparedness OR Lifesaving, (j) Environmental Science OR Sustainability, (k) Personal Management, (l) Swimming OR Hiking OR Cycling, (m) Camping, and (n) Family Life. You must choose only one of the merit badges listed in categories i, j, and l. Any additional merit badge(s) earned in those categories may be counted as one of your seven optional merit badges used to make your total of 21.	text	-					
7-4-0	E	4	While a Life Scout, serve actively in your troop for six months in one or more of the following positions of responsibility: Scout troop. Patrol leader, assistant senior patrol leader, senior patrol leader, troop guide, Order of the Arrow troop representative, den chief, scribe, librarian, historian, quartermaster, bugler, junior assistant Scoutmaster, chaplain aide, instructor, webmaster, or outdoor ethics guide. || Venturing crew. President, vice president, secretary, treasurer, den chief, historian, guide, quartermaster, chaplain aide, or outdoor ethics guide. || Sea Scout ship. Boatswain, boatswain's mate, purser, yeoman, storekeeper, crew leader, media specialist, specialist, den chief, or chaplain aide. || Lone Scout. Leadership responsibility in your school, religious organization, club, or elsewhere in your community.	text	You know what to do by now! This time, try to win your SPL election. In general, this shouldn't be TOO hard. But if you do this, it will look extremely sharp on your resumes!					
7-5-0	E	5	While a Life Scout, plan, develop, and give leadership to others in a service project helpful to any religious institution, any school, or your community. (The project must benefit an organization other than the Boy Scouts of America.) A project proposal must be approved by the organization benefiting from the effort, your Scoutmaster and unit committee, and the council or district before you start. You must use the Eagle Scout Service Project Workbook, BSA publication No. 512-927, in meeting this requirement. (To learn more about the Eagle Scout service project, see the Guide to Advancement, topics 9.0.2.0 through 9.0.2.16.) 	text	NOT YET SUPPORTED					
7-6-0	E	6	While a Life Scout, participate in a Scoutmaster conference.	text	You did this before, and you can do it again. It's the same thing :)					
7-7-0	E	7	Successfully complete your board of review for the Eagle Scout rank.	text	-					
